State,% of Graduates Tested*,% of Total Tested*,Average Composite Score
Alabama,69,69,21
Alaska,34,41,23.6
Arizona,28,67,22.1
Arkansas,75,71,20.9
California,12,60,22.2
Colorado,62,58,22.5
Connecticut,4,39,22.8
Delaware,4,60,21.1
Washington DC,26,52,18.3
Florida,40,64,21.3
Georgia,19,71,20.6
Hawaii,19,70,22.2
Idaho,59,49,22.9
Illinois,71,53,22.9
Indiana,20,63,22.2
Iowa,67,66,22.9
Kansas,78,66,22.6
Kentucky,72,48,21
Louisiana,80,71,20.5
Maine,6,44,22.2
Maryland,11,64,21
Massachusetts,8,45,22.2
Michigan,69,56,22.5
Minnesota,66,67,22.8
Mississippi,89,55,19.7
Missouri,70,59,22.6
Montana,55,55,23
Nebraska,74,67,22.5
Nevada,39,61,22.2
New Hampshire,7,52,23
New Jersey,4,32,21.4
New Mexico,64,54,21.1
New York,14,62,23.3
North Carolina,13,57,20.7
North Dakota,80,63,22.8
Ohio,63,61,22.5
Oklahoma,71,52,21.8
Oregon,11,56,23.6
Pennsylvania,8,66,22.1
Rhode Island,5,40,22
South Carolina,28,72,19.8
South Dakota,70,62,22.4
Tennessee,79,61,20.9
Texas,33,75,20.8
Utah,69,43,22.4
Vermont,9,45,22.9
Virginia,10,68,21.2
Washington,17,52,23.3
West Virginia,61,39,21.4
Wisconsin,68,62,23
Wyoming,64,55,22.6
National,38,60,21.9
