,job,company,location,salary,description
0,Data Scientist,        Novetta,"Crystal City, VA",,
1,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
2,Data Scientist,    xometry,"Durham, NC",,
3,Data Science Professional,        Freddie Mac,"McLean, VA 22102",,"Visualize data to communicate complex ideas. Use techniques from statistics, machine learning, and other data sciences to estimate predictive models from..."
4,"Scientist, Biomedical Informatics – Molecular Oncology","    GeneDx, Inc","Elmwood Park, NJ",,"Reviewing patient medical history, performing review of genomic data and helping maintain the active knowledgebase for variant interpretation...."
5,Data Subject Matter Expert,"    Aveshka, Inc.","Washington, DC",,"Demonstrated experience performing data assessment, data engineering, modeling and analytics to enable new methodologies for end user analysts, data scientists,..."
6,Data Scientist (USC or GC) (REMOTE),    Agile,"Melbourne, FL",,"In collecting, cleansing and converting data, data mining, data mapping, data integrity:. Experienced in collecting, cleansing and converting data, data mining,..."
7,Operations Research Analyst / Statistician Intern,        Mitre Corporation,"McLean, VA",,"MITRE is currently seeking an entry level Operations Research Analyst, Statistician, or Data Scientist to join our Operations Research department in Bedford, MA..."
8,Postdoctoral Researcher in Machine Learning and Computer Vision,        Georgia Institute of Technology,"Atlanta, GA",,"A postdoc position at the intersection of Machine Learning, Computer Vision and Human-Computer Interaction is available with the group of Christopher Rozell"
9,Data Scientist / Digital Analyst,        NPR,"Washington, DC",,"The Data Scientist / Digital Analyst works under the direct supervision of Senior Director, Audience Insights...."
10,Junior Data Scientist,    BitVoyant,"Rosslyn, VA",,"Junior Data Scientist. As a Data Scientist (Big Data), you will apply cutting-edge statistical and mathematical methods to the collection, correlation and..."
11,Data Subject Matter Expert,    Axiologic Solutions,"Washington, DC",,"Demonstrated experience performing data assessment, data engineering, modeling and analytics to enable new methodologies for end user analysts, data scientists,..."
12,fMRI Data Analysis,    Aphasia Research Laboratory - Boston University,"Boston, MA 02215 (Fenway-Kenmore area)",,"Responsibilities also include participant recruitment, coordinating the research study & data management...."
13,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
14,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
15,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
16,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
17,Data Scientist,    xometry,"Durham, NC",,
18,"Data Engineer, SocialVR",        Facebook,"Menlo Park, CA",,The Data Scientist Analytics role has work across the following four areas:. Building key data sets to empower operational and exploratory analysis....
19,MT / NLP / Data Analytics Technologist,    SDL Government,"Herndon, VA",,"We seek a scientist who will lead the development of new and creative concepts that integrate MT more effectively, across a diverse set of network and cloud..."
20,Data Scientists,    Grandata,United States,,Grandata is looking for great Data Scientists to develop machine learning algorithms over very large graphs. Handling and visualisation of large data sets....
21,Data Scientist,    NxT Level,"Seattle, WA","$125,000 - $160,000 a year","We are looking for a passionate Data Scientists that are looking to deep dive into a Seattle, WA company that's growing exponentially...."
22,Data Science Evangelist,    DataRobot,"Washington, DC",,"You will lead DataRobot University courses for executives, business analysts, and data scientists to help DataRobot users be wildly successful...."
23,Planing Assistant/Data Analysis.,        Four Seasons Design,"San Diego, CA 92154",,Planning assistant / Data Analysis. Retail Manufacturing experience a MAJOR Plus....
24,Jr. Data Scientist,        Comverge Inc,"Denver, CO",,Data Scientist will produce innovative solutions drivenby exploratory data analysis from complex and high-dimensional datasets....
25,Data Research Analyst - Office of Chief Nurse Executive,        Northwell Health,"New Hyde Park, NY 11040",,Trains staff on data capture and data entry. Analyzes and trends data. Extracts patient clinical data from medical records or other sources containing patient...
26,Entry Level- Data Scientist,    H3 Technologies,"Florence, KY 41042",,Entry level Data Scientist. We are looking for an entry level Data Scientist. We can provide project support to the Data Scientist who recently completed...
27,Data Visualization Research Specialist,    Northeastern University - Network Science Institut...,"Boston, MA","$50,000 a year","The lab of Professor Albert-László Barabási, together with the Network Science Institute at Northeastern University and the Division of Network Medicine at..."
28,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
29,Data Scientist,        Novetta,"Crystal City, VA",,
30,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
31,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
32,Data Scientist,    xometry,"Durham, NC",,
33,Entry Level- Data Scientist,    H3 Technologies,"Florence, KY 41042",,Entry level Data Scientist. We are looking for an entry level Data Scientist. We can provide project support to the Data Scientist who recently completed...
34,Digital Data Scientist Analyst/ Associate,        AlixPartners,United States,,Digital Predictive Modeling Data Scientist Analyst/Associate. Handle missing data through an algorithmic approach such as multiple imputation to enable insights...
35,Intern - Machine Learning for Network Reliability,        Huawei,"Santa Clara, CA",,"This position will focus on data mining in the current network product database, including data extraction, linking, clustering, and inference...."
36,Machine Learning - R&D TS Clearance,    Barone Consulting,"Arlington, VA",,Apply deep technical knowledge of machine learning techniques and applications to serve as a strategic consultant for government clients leading research and
37,Cleared Jr. Data Scientist,"    RedJack, LLC","Silver Spring, MD 20910",,"Data Scientist to analyze and implement analytic tools and techniques for our clients using large ( > 1 TB/day) volumes of data from multiple sources, including..."
38,Data Scientist / Analyst,        Booz Allen Hamilton,"Washington, DC",,"Experience with using R, Perl, Python, SAS, or SPSS for analysis of data. Experience with machine learning, data mining, statistics, or graph algorithms in an..."
39,Data Scientist / BI Analyst,        Infusionsoft,"Chandler, AZ",,"Utilizes an advanced understanding of multiple complicated data structures and sources that lead the design, development and implementation of decision support..."
40,Data Analyst/Scientist IV - (B4),        Applied Materials Inc.,"Santa Clara, CA",,Interacts with product and service teams to identify questions and issues for data analysis and experiments;...
41,Data Scientist,    Keyo,"Palo Alto, CA","$120,000 - $200,000 a year","We’re looking for talented junior and senior data scientists to join our diverse and fast-growing data team. As a data scientist, you’ll build and implement the..."
42,Employee Payables Data Analysis Specialist,        Booz Allen Hamilton,"Herndon, VA",,Employee Payables Data Analysis Specialist. Serve as a part of an internal team and perform data analysis of account payables....
43,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
44,Data Scientist,        Novetta,"Crystal City, VA",,
45,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
46,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
47,Data Scientist,    xometry,"Durham, NC",,
48,Data Analyst/Scientist IV - (B4),        Applied Materials Inc.,"Santa Clara, CA",,Interacts with product and service teams to identify questions and issues for data analysis and experiments;...
49,Statistical Regression Analyst,        Technology Service Corporation,"Arlington, VA 22202 (Aurora Highlands area)",,"Government, contractor, and documented data reserves to generate tailored information. Ability to search government and commercial sources of data focused on..."
50,Data Scientist / BI Analyst,        Infusionsoft,"Chandler, AZ",,"Utilizes an advanced understanding of multiple complicated data structures and sources that lead the design, development and implementation of decision support..."
51,Lead Data Analyst,    Plus3 IT Systems,"Washington, DC",,"Minimum 5 years’ experience working on complex data/database projects as a data analyst, data architect, data scientist or database engineer...."
52,Data Scientist,        Central Intelligence Agency,"Washington, DC","$62,338 - $119,794 a year","Data Scientists organize and interpret Big Data to inform US decision makers, drive successful operations and shape CIA technology and resource investments...."
53,Data Scientist,"    Computer Enterprises, Inc. (CEI)","Philadelphia, PA","$160,000 a year","Excel, SQL, SAS, R, and Tableau) through determination of appropriate analytic approach (sample data analysis, trending, regression, etc.)...."
54,Statistician - Administration,        George Washington Medical Faculty Associates,"Washington, DC",,"Perform statistical data analyses. Validate the accuracy, consistency and integrity of the statistical output generated during data analysis of study data...."
